file_path,image_path,media_type,split,label,class_name,binary_label,binary_class_name
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001225_002941.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001225_002941.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001456_001738.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001456_001738.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001609_002942.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001609_002942.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002049_001750.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002049_001750.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/real/002739_003269.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/002739_003269.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002631_000868.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002631_000868.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001389_002893.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001389_002893.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001445_002104.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001445_002104.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/tampered/001503_000086.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/001503_000086.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/real/003075_002811.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/003075_002811.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/002032_003325.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/002032_003325.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/real/001537_001937.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/001537_001937.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000770_000637.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000770_000637.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/tampered/002698_000510.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/002698_000510.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/tampered/001156_000998.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/001156_000998.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/tampered/001936_000925.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/001936_000925.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/real/002852_000896.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/002852_000896.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/001217_002614.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/001217_002614.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/tampered/001110_000911.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/001110_000911.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/real/000918_001437.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/000918_001437.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002876_002989.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002876_002989.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/real/002737_000884.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/002737_000884.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/000998_002943.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/000998_002943.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002510_000666.jpg,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002510_000666.jpg,image,test_binary,1,Full-Synthetic,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/real/002674_002434.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/002674_002434.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/000115_000554.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/000115_000554.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/001504_000908.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/001504_000908.jpg,image,test_binary,0,Real,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/000014_000879.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/000014_000879.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/tampered/000446_000274.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/000446_000274.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/tampered/001464_003058.jpg,/content/drive/MyDrive/skripsi/dataset_image/tampered/001464_003058.jpg,image,test_binary,2,Tampered,1,Fake
/content/drive/MyDrive/skripsi/dataset_image/real/001187_000530.jpg,/content/drive/MyDrive/skripsi/dataset_image/real/001187_000530.jpg,image,test_binary,0,Real,0,Real
